,station,parameter,time,value,station__location,station__elevation,longitude,latitude
20,449,1,2011-06-01 03:00:00+00:00,1.2,SRID=4326;POINT (84.35640278 28.28220833),838,84.35640278,28.28220833
21,343,1,2011-06-01 03:00:00+00:00,14,SRID=4326;POINT (80.983602 29.268036),1309,80.983602,29.268036
22,535,1,2011-06-01 03:00:00+00:00,3.2,SRID=4326;POINT (84.744354 28.200747),1889,84.744354,28.200747
23,341,1,2011-06-01 03:00:00+00:00,23.8,SRID=4326;POINT (81.24587194 28.65629694),1070,81.24587194,28.65629694
24,384,1,2011-06-01 03:00:00+00:00,21.3,SRID=4326;POINT (83.319387 28.504058),1970,83.319387,28.504058
25,338,1,2011-06-01 03:00:00+00:00,20,SRID=4326;POINT (81.14630111 29.38804889),3068,81.14630111,29.38804889
26,475,1,2011-06-01 03:00:00+00:00,9.2,SRID=4326;POINT (86.504225 27.30812083),1731,86.504225,27.30812083
27,330,1,2011-06-01 03:00:00+00:00,20,SRID=4326;POINT (81.20845 29.2349),626,81.20845,29.2349
28,388,1,2011-06-01 03:00:00+00:00,120.5,SRID=4326;POINT (84.34494167 28.12677778),820,84.34494167,28.12677778
29,442,1,2011-06-01 03:00:00+00:00,8.2,SRID=4326;POINT (85 28.48333333),3300,85,28.48333333
30,538,1,2011-06-01 03:00:00+00:00,15,SRID=4326;POINT (84.22912222 28.04078056),372,84.22912222,28.04078056
31,482,1,2011-06-01 03:00:00+00:00,20,SRID=4326;POINT (81.97491667 28.02986111),161,81.97491667,28.02986111
32,399,1,2011-06-01 03:00:00+00:00,20,SRID=4326;POINT (84.22854167 27.680675),183,84.22854167,27.680675
33,336,1,2011-06-01 03:00:00+00:00,20,SRID=4326;POINT (80.89738 29.48912),894,80.89738,29.48912
34,443,1,2011-06-01 03:00:00+00:00,20,SRID=4326;POINT (84.19841 28.68098889),4195,84.19841,28.68098889
35,539,1,2011-06-01 03:00:00+00:00,12.6,SRID=4326;POINT (83.695571 28.401421),2987,83.695571,28.401421
